root,shuffled,id,valid_words,length,Set
image,amegi,563,['image'],5,SetD
remain,rinmea,564,"['marine', 'airmen', 'remain', 'mainer']",6,SetD
race,aerc,565,"['race', 'acer', 'care', 'acre']",4,SetD
brain,abrin,566,"['bairn', 'brain']",5,SetD
acting,ctaign,567,"['acting', 'cating']",6,SetD
lose,oles,568,"['sloe', 'leos', 'lose', 'sole']",4,SetD
worst,srwto,569,"['worst', 'worts']",5,SetD
sexual,auxsel,570,['sexual'],6,SetD
seem,eesm,571,['seem'],4,SetD
civil,vlici,572,['civil'],5,SetD
target,trtaeg,573,['target'],6,SetD
safe,fase,574,"['safe', 'faes']",4,SetD
stock,otksc,575,['stock'],5,SetD
estate,eseatt,576,"['testae', 'estate']",6,SetD
loss,osls,577,"['sols', 'loss']",4,SetD
dance,naecd,578,"['caned', 'acned', 'dance']",5,SetD
budget,bgetdu,579,['budget'],6,SetD
huge,eguh,580,['huge'],4,SetD
beach,acbhe,581,['beach'],5,SetD
silver,vleirs,582,"['silver', 'livers', 'sliver']",6,SetD
okay,akyo,583,"['okay', 'kayo']",4,SetD
color,olocr,584,['color'],5,SetD
animal,inamla,585,"['malian', 'animal', 'manila', 'lamina']",6,SetD
goal,aogl,586,"['gaol', 'goal']",4,SetD
grand,gdrna,587,['grand'],5,SetD
spread,deprsa,588,"['parsed', 'rasped', 'spread', 'drapes', 'spared', 'padres']",6,SetD
ways,aswy,589,"['sway', 'ways', 'yaws']",4,SetD
sweet,swete,590,"['wetes', 'weest', 'sweet']",5,SetD
memory,mymoer,591,['memory'],6,SetD
army,rmya,592,"['mary', 'army']",4,SetD
touch,tchuo,593,"['touch', 'couth']",5,SetD
supply,pspylu,594,['supply'],6,SetD
deep,pdee,595,"['deep', 'peed']",4,SetD
dream,medra,596,"['armed', 'derma', 'mared', 'mader', 'dream', 'ramed']",5,SetD
prison,snpoir,597,"['orpins', 'prison', 'prions']",6,SetD
base,esab,598,['base'],4,SetD
drink,dirnk,599,['drink'],5,SetD
window,nwwiod,600,['window'],6,SetD
